"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1198","test_scroll_up_using_arrow_button[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc25_scroll_up_with_arrow","",""
"","822","test_add_review_on_product[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc21_add_review_on_product","",""
"","4946","test_place_order_register_while_checkout[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc14_order_register_while_checkout","",""
"","4458","test_place_order_register_before_checkout[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc15_order_register_before_checkout","",""
"","1146","test_view_women_and_men_category_products[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc18_view_category_products","",""
"","3854","test_logout_returns_to_login_page[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc04_logout","",""
"","632","test_subscription_on_home_page[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc10_subscription_home","",""
"","5365","test_place_order_login_before_checkout[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc16_order_login_before_checkout","",""
"","3158","test_login_with_correct_credentials[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc02_login_correct","",""
"","864","test_test_cases_page_opens[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc07_test_cases_page","",""
"","962","test_cart_shows_chosen_quantity[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc13_product_quantity_in_cart","",""
"","2668","test_register_user[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc01_register_user","",""
"","3326","test_register_with_existing_email_shows_error[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc05_register_existing_email","",""
"","842","test_contact_us_form[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc06_contact_us_form","",""
"","806","test_view_polo_and_hm_brand_products[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc19_view_brand_products","",""
"","545","test_login_with_wrong_password_shows_error[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc03_login_incorrect","",""
"","1018","test_add_to_cart_from_recommended_items[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc22_recommended_items","",""
"","811","test_search_for_a_dress[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc09_search_product","",""
"","359","test_subscription_on_cart_page[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc11_subscription_cart","",""
"","2907","test_checkout_shows_registration_address[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc23_address_details_in_checkout","",""
"","1060","test_remove_product_from_cart[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc17_remove_product_from_cart","",""
"","1073","test_add_two_products_to_cart[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc12_add_products_in_cart","",""
"","4425","test_cart_is_kept_after_login[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc20_search_and_verify_cart_after_login","",""
"","768","test_scroll_up_without_arrow_button[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc26_scroll_up_without_arrow","",""
"","1404","test_all_products_and_first_product_details[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc08_all_products_and_details","",""
"","4874","test_download_invoice_after_purchase[chromium]","tour-tests","2026-07-19","passed","2026-07-19","","test_tc24_download_invoice","",""
